Spanish,English
tragar drogas, to swallow drugs
la mula, the drug mule
el narcotráfico, the drug trafficking
arriesgarse, to take a risk
el riesgo, the risk
arrestar a alguien, to arrest someone
reventarse, to burst
la oferta, the offer
los rayos X, the X rays
el camello, drug dealer
el dinero, the money
la plata, the money
renunciar, to resign
los preparativos, the preparations
la muerte, the death
amar, to love
asustar, to frighten
asustarse, to be frightened
dejar, to allow
la aduana, the customs
entregar, to deliver
hacer daño, to hurt
tragar, to swalow
la pepa, the pellet
la dirreción, the address
el pasaje, the ticket
probar, to prove
la prueba, the test
la prueba, the proof
quedarse, to stay
regresar, to return/go back
el tipo, the guy
tratar, to treaty
tratar de, to try to
volarse, to fly/run off
aguantar, to withstand
ahorrar, to save money
el bobo, the fool
callarse, to be quiet
conseguir, to obtain
la llamada, the phone call
merecerse, to deserve
la parte, the place
el lugar/sitio, the place
pedir disculpas, to apologise
seguir, to follow
sentirse, to feel(emotion)
tranquilo, don't worry
trabajo, work
mal pagado, badly paid
una espina, a thorn
la plantación, the plantation
embarazada, pregnant
desesperada, desperate
una pepa de heroína, package of heroine
salvarle la vida, to save the life
María, una muchacha joven
Diana, la hermana de María
Juana, la madre de María
Juan, el novio de María
Franklin, propone el trabajo de mula
Javier, jefe de las mulas
Blanca, la mejor amiga de María
Blanca, una mula
Lucy, la compañera de viaje
Lucy, una mula
Carla, hermana de Lucy
Don Fernando, ayuda María
